"version","version_season","season_name","season","episode","day","tribe_status","tribe","castaway","immunity","vote","vote_event","split_vote","nullified","tie","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Mitchell",NA,NA,"Count back",NA,FALSE,FALSE,"Mitchell",4,3,"US0020",NA,"US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Keith",NA,NA,"Count back",NA,FALSE,FALSE,"Mitchell",4,3,"US0030",NA,"US0020"
"US","US02","Survivor: The Australian Outback",2,5,15,"Original","Kucha","Kimmi",NA,"Jeff",NA,NA,FALSE,FALSE,"Kimmi",5,1,"US0021","US0023","US0021"
"US","US02","Survivor: The Australian Outback",2,5,15,"Original","Kucha","Michael",NA,"Kimmi",NA,NA,FALSE,FALSE,"Kimmi",5,1,"US0022","US0021","US0021"
"US","US02","Survivor: The Australian Outback",2,5,15,"Original","Kucha","Jeff",NA,"Kimmi",NA,NA,FALSE,FALSE,"Kimmi",5,1,"US0023","US0021","US0021"
"US","US02","Survivor: The Australian Outback",2,5,15,"Original","Kucha","Alicia",NA,"Kimmi",NA,NA,FALSE,FALSE,"Kimmi",5,1,"US0024","US0021","US0021"
"US","US02","Survivor: The Australian Outback",2,5,15,"Original","Kucha","Nick",NA,"Kimmi",NA,NA,FALSE,FALSE,"Kimmi",5,1,"US0026","US0021","US0021"
"US","US02","Survivor: The Australian Outback",2,5,15,"Original","Kucha","Rodger",NA,"Kimmi",NA,NA,FALSE,FALSE,"Kimmi",5,1,"US0028","US0021","US0021"
"US","US02","Survivor: The Australian Outback",2,5,15,"Original","Kucha","Elisabeth",NA,"Kimmi",NA,NA,FALSE,FALSE,"Kimmi",5,1,"US0029","US0021","US0021"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Jeff",NA,"Colby",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0023","US0031","US0023"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Alicia",NA,"Colby",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0024","US0031","US0023"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Jerri",NA,"Jeff",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0025","US0023","US0023"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Nick",NA,"Colby",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0026","US0031","US0023"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Amber",NA,"Jeff",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0027","US0023","US0023"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Rodger",NA,"Colby",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0028","US0031","US0023"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Elisabeth",NA,"Colby",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0029","US0031","US0023"
"US","US02","Survivor: The Australian Outback",2,7,21,"Merged","Barramundi","Keith",NA,"Jeff",NA,NA,FALSE,TRUE,"Jeff",7,1,"US0030","US0023","US0023"
