"version","version_season","season_name","season","episode","order","castaway","castaway_id","tribe","tribe_status","in_the_game"
"US","US02","Survivor: The Australian Outback",2,13,11,"Tina","US0032","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,14,12,"Elisabeth","US0029","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,14,12,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,14,12,"Colby","US0031","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,14,12,"Tina","US0032","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,15,13,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,15,13,"Colby","US0031",NA,NA,NA
"US","US02","Survivor: The Australian Outback",2,15,13,"Tina","US0032",NA,NA,NA
"US","US02","Survivor: The Australian Outback",2,16,14,"Colby","US0031",NA,NA,NA
"US","US02","Survivor: The Australian Outback",2,16,14,"Tina","US0032",NA,NA,NA
"US","US02","Survivor: The Australian Outback",2,16,15,"Tina","US0032",NA,NA,NA
"US","US03","Survivor: Africa",3,1,0,"Diane","US0033","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Jessie","US0034","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Carl","US0035","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Linda","US0036","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Silas","US0037","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Lindsey","US0038","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Clarence","US0039","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Kelly","US0040","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Brandon","US0041","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Frank","US0042","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Kim P.","US0043","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Teresa","US0044","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Tom","US0045","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Lex","US0046","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Kim J.","US0047","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,1,0,"Ethan","US0048","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,2,1,"Jessie","US0034","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,2,1,"Carl","US0035","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,2,1,"Linda","US0036","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,2,1,"Silas","US0037","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,2,1,"Lindsey","US0038","Samburu","Original",TRUE
"US","US03","Survivor: Africa",3,2,1,"Clarence","US0039","Boran","Original",TRUE
"US","US03","Survivor: Africa",3,2,1,"Kelly","US0040","Boran","Original",TRUE
