"version","version_season","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"US","US02","Survivor: The Australian Outback",2,14,39,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,14,39,"US0032","Tina","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,15,41,"US0030","Keith","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,15,41,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,15,41,"US0032","Tina","Barramundi","Merged"
"US","US03","Survivor: Africa",3,1,3,"US0033","Diane","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0034","Jessie","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0039","Clarence","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0040","Kelly","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0045","Tom","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0046","Lex","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0047","Kim J.","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0048","Ethan","Boran","Original"
"US","US03","Survivor: Africa",3,1,3,"US0035","Carl","Samburu","Original"
"US","US03","Survivor: Africa",3,1,3,"US0036","Linda","Samburu","Original"
"US","US03","Survivor: Africa",3,1,3,"US0037","Silas","Samburu","Original"
"US","US03","Survivor: Africa",3,1,3,"US0038","Lindsey","Samburu","Original"
"US","US03","Survivor: Africa",3,1,3,"US0041","Brandon","Samburu","Original"
"US","US03","Survivor: Africa",3,1,3,"US0042","Frank","Samburu","Original"
"US","US03","Survivor: Africa",3,1,3,"US0043","Kim P.","Samburu","Original"
"US","US03","Survivor: Africa",3,1,3,"US0044","Teresa","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0034","Jessie","Boran","Original"
"US","US03","Survivor: Africa",3,2,6,"US0039","Clarence","Boran","Original"
"US","US03","Survivor: Africa",3,2,6,"US0040","Kelly","Boran","Original"
"US","US03","Survivor: Africa",3,2,6,"US0045","Tom","Boran","Original"
"US","US03","Survivor: Africa",3,2,6,"US0046","Lex","Boran","Original"
"US","US03","Survivor: Africa",3,2,6,"US0047","Kim J.","Boran","Original"
"US","US03","Survivor: Africa",3,2,6,"US0048","Ethan","Boran","Original"
"US","US03","Survivor: Africa",3,2,6,"US0035","Carl","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0036","Linda","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0037","Silas","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0038","Lindsey","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0041","Brandon","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0042","Frank","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0043","Kim P.","Samburu","Original"
"US","US03","Survivor: Africa",3,2,6,"US0044","Teresa","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0039","Clarence","Boran","Original"
"US","US03","Survivor: Africa",3,3,9,"US0040","Kelly","Boran","Original"
"US","US03","Survivor: Africa",3,3,9,"US0045","Tom","Boran","Original"
"US","US03","Survivor: Africa",3,3,9,"US0046","Lex","Boran","Original"
"US","US03","Survivor: Africa",3,3,9,"US0047","Kim J.","Boran","Original"
"US","US03","Survivor: Africa",3,3,9,"US0048","Ethan","Boran","Original"
"US","US03","Survivor: Africa",3,3,9,"US0035","Carl","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0036","Linda","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0037","Silas","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0038","Lindsey","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0041","Brandon","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0042","Frank","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0043","Kim P.","Samburu","Original"
"US","US03","Survivor: Africa",3,3,9,"US0044","Teresa","Samburu","Original"
"US","US03","Survivor: Africa",3,4,12,"US0039","Clarence","Boran","Original"
"US","US03","Survivor: Africa",3,4,12,"US0040","Kelly","Boran","Original"
"US","US03","Survivor: Africa",3,4,12,"US0045","Tom","Boran","Original"
"US","US03","Survivor: Africa",3,4,12,"US0046","Lex","Boran","Original"
"US","US03","Survivor: Africa",3,4,12,"US0047","Kim J.","Boran","Original"
"US","US03","Survivor: Africa",3,4,12,"US0048","Ethan","Boran","Original"
"US","US03","Survivor: Africa",3,4,12,"US0036","Linda","Samburu","Original"
"US","US03","Survivor: Africa",3,4,12,"US0037","Silas","Samburu","Original"
"US","US03","Survivor: Africa",3,4,12,"US0038","Lindsey","Samburu","Original"
"US","US03","Survivor: Africa",3,4,12,"US0041","Brandon","Samburu","Original"
"US","US03","Survivor: Africa",3,4,12,"US0042","Frank","Samburu","Original"
"US","US03","Survivor: Africa",3,4,12,"US0043","Kim P.","Samburu","Original"
"US","US03","Survivor: Africa",3,4,12,"US0044","Teresa","Samburu","Original"
