"version","version_season","season_name","season","episode","castaway","castaway_id","confessional_count"
"US","US03","Survivor: Africa",3,2,"Tom","US0045",2
"US","US03","Survivor: Africa",3,3,"Brandon","US0041",3
"US","US03","Survivor: Africa",3,3,"Carl","US0035",5
"US","US03","Survivor: Africa",3,3,"Clarence","US0039",2
"US","US03","Survivor: Africa",3,3,"Ethan","US0048",2
"US","US03","Survivor: Africa",3,3,"Frank","US0042",3
"US","US03","Survivor: Africa",3,3,"Kelly","US0040",0
"US","US03","Survivor: Africa",3,3,"Kim J.","US0047",1
"US","US03","Survivor: Africa",3,3,"Kim P.","US0043",5
"US","US03","Survivor: Africa",3,3,"Lex","US0046",1
"US","US03","Survivor: Africa",3,3,"Linda","US0036",1
"US","US03","Survivor: Africa",3,3,"Lindsey","US0038",5
"US","US03","Survivor: Africa",3,3,"Silas","US0037",3
"US","US03","Survivor: Africa",3,3,"Teresa","US0044",1
"US","US03","Survivor: Africa",3,3,"Tom","US0045",4
"US","US03","Survivor: Africa",3,4,"Brandon","US0041",2
"US","US03","Survivor: Africa",3,4,"Clarence","US0039",6
"US","US03","Survivor: Africa",3,4,"Ethan","US0048",5
"US","US03","Survivor: Africa",3,4,"Frank","US0042",7
"US","US03","Survivor: Africa",3,4,"Kelly","US0040",1
"US","US03","Survivor: Africa",3,4,"Kim J.","US0047",1
"US","US03","Survivor: Africa",3,4,"Kim P.","US0043",3
"US","US03","Survivor: Africa",3,4,"Lex","US0046",3
"US","US03","Survivor: Africa",3,4,"Linda","US0036",7
"US","US03","Survivor: Africa",3,4,"Lindsey","US0038",5
"US","US03","Survivor: Africa",3,4,"Silas","US0037",7
"US","US03","Survivor: Africa",3,4,"Teresa","US0044",1
"US","US03","Survivor: Africa",3,4,"Tom","US0045",2
"US","US03","Survivor: Africa",3,5,"Brandon","US0041",3
"US","US03","Survivor: Africa",3,5,"Clarence","US0039",1
"US","US03","Survivor: Africa",3,5,"Ethan","US0048",5
"US","US03","Survivor: Africa",3,5,"Frank","US0042",3
"US","US03","Survivor: Africa",3,5,"Kelly","US0040",4
"US","US03","Survivor: Africa",3,5,"Kim J.","US0047",2
"US","US03","Survivor: Africa",3,5,"Kim P.","US0043",1
"US","US03","Survivor: Africa",3,5,"Lex","US0046",3
"US","US03","Survivor: Africa",3,5,"Lindsey","US0038",4
"US","US03","Survivor: Africa",3,5,"Silas","US0037",6
"US","US03","Survivor: Africa",3,5,"Teresa","US0044",2
"US","US03","Survivor: Africa",3,5,"Tom","US0045",5
"US","US03","Survivor: Africa",3,6,"Brandon","US0041",4
"US","US03","Survivor: Africa",3,6,"Clarence","US0039",6
"US","US03","Survivor: Africa",3,6,"Ethan","US0048",6
"US","US03","Survivor: Africa",3,6,"Frank","US0042",4
"US","US03","Survivor: Africa",3,6,"Kelly","US0040",3
"US","US03","Survivor: Africa",3,6,"Kim J.","US0047",3
"US","US03","Survivor: Africa",3,6,"Kim P.","US0043",2
"US","US03","Survivor: Africa",3,6,"Lex","US0046",4
"US","US03","Survivor: Africa",3,6,"Lindsey","US0038",11
"US","US03","Survivor: Africa",3,6,"Teresa","US0044",1
"US","US03","Survivor: Africa",3,6,"Tom","US0045",1
"US","US03","Survivor: Africa",3,7,"Brandon","US0041",6
"US","US03","Survivor: Africa",3,7,"Clarence","US0039",3
"US","US03","Survivor: Africa",3,7,"Ethan","US0048",0
"US","US03","Survivor: Africa",3,7,"Frank","US0042",7
"US","US03","Survivor: Africa",3,7,"Kelly","US0040",6
"US","US03","Survivor: Africa",3,7,"Kim J.","US0047",3
"US","US03","Survivor: Africa",3,7,"Kim P.","US0043",2
"US","US03","Survivor: Africa",3,7,"Lex","US0046",4
"US","US03","Survivor: Africa",3,7,"Teresa","US0044",1
"US","US03","Survivor: Africa",3,7,"Tom","US0045",4
"US","US03","Survivor: Africa",3,9,"Brandon","US0041",2
"US","US03","Survivor: Africa",3,9,"Ethan","US0048",9
"US","US03","Survivor: Africa",3,9,"Frank","US0042",1
"US","US03","Survivor: Africa",3,9,"Kelly","US0040",5
"US","US03","Survivor: Africa",3,9,"Kim J.","US0047",1
"US","US03","Survivor: Africa",3,9,"Kim P.","US0043",2
"US","US03","Survivor: Africa",3,9,"Lex","US0046",13
"US","US03","Survivor: Africa",3,9,"Teresa","US0044",6
"US","US03","Survivor: Africa",3,9,"Tom","US0045",3
"US","US03","Survivor: Africa",3,10,"Brandon","US0041",4
"US","US03","Survivor: Africa",3,10,"Ethan","US0048",4
"US","US03","Survivor: Africa",3,10,"Frank","US0042",5
"US","US03","Survivor: Africa",3,10,"Kim J.","US0047",2
"US","US03","Survivor: Africa",3,10,"Kim P.","US0043",4
"US","US03","Survivor: Africa",3,10,"Lex","US0046",5
"US","US03","Survivor: Africa",3,10,"Teresa","US0044",0
"US","US03","Survivor: Africa",3,10,"Tom","US0045",8
"US","US03","Survivor: Africa",3,11,"Ethan","US0048",8
"US","US03","Survivor: Africa",3,11,"Frank","US0042",3
"US","US03","Survivor: Africa",3,11,"Kim J.","US0047",5
"US","US03","Survivor: Africa",3,11,"Kim P.","US0043",11
"US","US03","Survivor: Africa",3,11,"Lex","US0046",8
"US","US03","Survivor: Africa",3,11,"Teresa","US0044",4
"US","US03","Survivor: Africa",3,11,"Tom","US0045",3
"US","US03","Survivor: Africa",3,12,"Ethan","US0048",3
"US","US03","Survivor: Africa",3,12,"Kim J.","US0047",2
"US","US03","Survivor: Africa",3,12,"Kim P.","US0043",0
"US","US03","Survivor: Africa",3,12,"Lex","US0046",9
"US","US03","Survivor: Africa",3,12,"Teresa","US0044",2
"US","US03","Survivor: Africa",3,12,"Tom","US0045",12
"US","US03","Survivor: Africa",3,13,"Ethan","US0048",10
"US","US03","Survivor: Africa",3,13,"Kim J.","US0047",6
"US","US03","Survivor: Africa",3,13,"Lex","US0046",16
"US","US03","Survivor: Africa",3,13,"Teresa","US0044",9
"US","US03","Survivor: Africa",3,13,"Tom","US0045",4
"US","US03","Survivor: Africa",3,14,"Ethan","US0048",10
"US","US03","Survivor: Africa",3,14,"Kim J.","US0047",9
"US","US03","Survivor: Africa",3,14,"Lex","US0046",11
"US","US03","Survivor: Africa",3,14,"Tom","US0045",4
"US","US04","Survivor: Marquesas",4,1,"Boston Rob","US0055",5
"US","US04","Survivor: Marquesas",4,1,"Gabriel","US0053",2
"US","US04","Survivor: Marquesas",4,1,"Gina","US0054",6
"US","US04","Survivor: Marquesas",4,1,"Hunter","US0051",2
"US","US04","Survivor: Marquesas",4,1,"John","US0056",5
"US","US04","Survivor: Marquesas",4,1,"Kathy","US0062",3
"US","US04","Survivor: Marquesas",4,1,"Neleh","US0063",2
"US","US04","Survivor: Marquesas",4,1,"Paschal","US0061",2
"US","US04","Survivor: Marquesas",4,1,"Patricia","US0050",3
"US","US04","Survivor: Marquesas",4,1,"Peter","US0049",5
"US","US04","Survivor: Marquesas",4,1,"Robert","US0059",3
"US","US04","Survivor: Marquesas",4,1,"Sarah","US0052",2
"US","US04","Survivor: Marquesas",4,1,"Sean","US0060",6
"US","US04","Survivor: Marquesas",4,1,"Tammy","US0058",3
"US","US04","Survivor: Marquesas",4,1,"Vecepia","US0064",2
"US","US04","Survivor: Marquesas",4,1,"Zoe","US0057",1
